status,collision_index,collision_year,collision_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_severity
Unvalidated,2024010509139,2024.0,,1.0,1.0460992777014575,1,1.0,39,7,0.0,0,0,0,0.0,3,1.0,3,E01002646,-1,3
,2024201406101,2024.0,201406101,1.0,1.0,3,1.0,21,5,6.0,9,0,0,2.0,0,1.0,9,E01009472,3,3
Unvalidated,2024302400257,2024.0,302400257,2.0,1.0,1,1.0,16,4,0.0,0,0,0,0.0,2,1.0,7,E01019655,-1,3
Unvalidated,2024471418847,2024.0,471418847,1.0,5.0,2,1.0,27,6,0.0,0,2,0,0.0,9,1.0,9,E01031730,3,3
Unvalidated,2024991458704,2024.0,991458704,1.0,3.0,2,2.0,32,6,0.0,0,2,0,0.0,9,-1.0,-1,-1,3,3
Unvalidated,2024010518170,2024.0,010518170,1.0,3.0,2,1.0,17,4,0.0,0,0,4,0.0,11,1.0,5,E01002145,-1,3
Unvalidated,2024010512365,,010512365,2.0,2.0,1,1.0,37,7,0.0,0,0,0,0.0,9,-1.0,-1,-1,-1,3
Unvalidated,2024061449729,2024.0,061449729,2.0,1.0,1,2.0,44,7,0.0,0,0,0,0.0,3,1.0,2,E01006369,3,3
Unvalidated,2024631435258,2024.0,631435258,1.0,1.0,1,1.0,33,6,0.0,0,0,0,0.0,9,3.0,6,W01000647,3,3
Unvalidated,2024531398389,2024.0,531398389,1.0,1.0,3,2.0,43,7,1.0,1,0,0,0.0,0,1.0,6,E01032934,3,3
Unvalidated,2024052400478,2024.0,052400478,1.0,1.0,3,2.0,20,4,5.0,9,0,0,0.0,0,1.0,5,E01006557,-1,3
Unvalidated,2024010489819,,010489819,1.0,1.0,1,1.0,20,4,0.0,0,0,0,0.0,4,1.0,2,E01003990,-1,2
Unvalidated,2024221440934,2024.0,,1.0,1.0,1,1.0,49,8,0.0,0,0,0,0.0,19,1.0,4,E01032397,3,3
Unvalidated,2024552400088,2024.0,552400088,2.0,1.0,1,1.0,33,6,0.0,0,0,0,0.0,9,3.0,6,E01020466,-1,3
Unvalidated,2024371405446,2024.0,371405446,3.0,3.0,1,2.0,45,7,0.0,0,0,0,0.0,9,1.0,1,E01033130,3,3
Unvalidated,2024010519820,2024.0,010519820,3.0,2.0,1,-1.0,-1,-1,0.0,0,0,0,0.0,1,1.0,3,E01004427,-1,3
Unvalidated,2024010493306,2024.0,010493306,1.0,2.0,2,2.0,37,7,0.0,0,2,0,0.0,8,1.0,3,E01000372,-1,3
Unvalidated,2024501439158,2024.0,501439158,1.0,1.0,3,1.0,13,3,10.334650583926253,1,0,0,1.0,0,1.0,3,E01020229,3,3
Unvalidated,2024141442400,2024.0,,2.0,1.0,1,1.0,27,6,0.0,0,0,0,0.0,9,1.0,2,E01007633,3,3
Unvalidated,2024221400003,2024.0,221400003,1.0791922335907314,1.0,1,1.0,26,6,0.0,0,0,0,0.0,9,1.0,5,E01028909,3,3
Unvalidated,2024351452041,2024.0,351452041,2.0,2.0,1,2.0,64,9,0.0,0,0,0,0.0,9,2.0,6,E01018052,3,3
Unvalidated,2024010517159,2024.0,010517159,1.0,1.0,1,1.0,40,7,0.0,0,0,0,0.0,9,1.0,5,E01003072,-1,3
Unvalidated,2024451457122,2024.0,451457122,1.0,1.0,1,2.0,45,7,0.0,0,0,0,0.0,9,1.0,9,E01010332,3,3
Unvalidated,2024131433392,2024.0,131433392,1.0,1.077373734905776,3,2.0,36,7,8.0,1,0,0,2.0,0,1.0,3,E01011040,3,3
Unvalidated,2024010516278,2024.0,010516278,1.0,1.0,1,1.0,24,5,0.0,0,0,0,0.0,9,1.0,2,E01004067,-1,3
Unvalidated,2024451401846,2024.0,451401846,1.0,1.0,2,2.0,18,4,0.0,0,0,4,0.0,11,-1.0,-1,-1,3,3
Unvalidated,2024231446018,2024.0,231446018,3.0,1.8650825042951191,2,2.0,7,2,0.0,0,1,0,0.0,9,1.0,2,E01031066,3,3
,2024131409511,2024.0,131409511,1.0,1.086953497739916,3,1.0,11,3,5.0,2,0,0,2.0,0,1.0,10,E01010579,3,3
Unvalidated,2024501423921,,501423921,1.0,1.0,1,1.0,44,7,0.0,0,0,0,0.0,9,1.0,7,E01026978,3,3
Unvalidated,2024111427397,2024.0,111427397,1.0,0.9542128415955258,2,2.0,19,4,0.0,0,2,0,0.0,97,3.0,6,E01020864,1,1
Unvalidated,2024351398889,2024.0,351398889,1.0,1.0,1,1.0,29,6,0.0,0,0,0,0.0,9,2.0,5,E01018233,3,3
Unvalidated,2024411429944,2024.0,411429944,2.0,1.0,1,1.0,50,8,0.0,0,0,0,,1,2.0,10,E01023725,3,3
,2024231426324,2024.0,231426324,1.0,1.0,1,1.0,17,4,0.0,0,0,0,0.0,3,1.0,1,E01032890,7,2
Unvalidated,2024061442060,2024.0,061442060,2.0,1.0,2,1.0,7,2,0.0,0,2,0,0.0,9,-1.0,-1,-1,3,3
,2024401449390,2024.0,401449390,1.024245141061906,1.0,1,1.0,51,8,0.0,0,0,0,0.0,9,1.0,9,E01017576,3,3
Unvalidated,2024161419127,2024.0,161419127,2.0,2.0,1,,25,5,0.0,0,0,0,0.0,9,3.0,7,E01013323,7,2
Unvalidated,2024070462217,2024.0,070462217,1.0,1.0,3,1.0,48,8,5.0,3,0,0,0.0,0,-1.0,-1,-1,-1,3
Unvalidated,2024122400461,2024.0,,2.0,2.0,1,1.0,61,9,0.0,0,0,0,0.0,21,1.0,3,E01007480,-1,3
Unvalidated,2024061396965,2024.0,061396965,0.9090739058251371,1.0,2,2.0,41,7,0.0,0,2,0,0.0,8,-1.0,-1,-1,3,3
Unvalidated,2024471418998,2024.0,471418998,2.0,1.0,1,1.0,32,6,0.0,0,0,0,0.0,9,1.0,7,E01031813,3,3
,2024122400279,2024.0,122400279,1.0,1.0,1,1.0,56,9,0.0,0,0,0,0.0,5,2.0,2,E01019505,-1,3
Unvalidated,2024991462471,2024.0,991462471,1.0,1.0,1,,59,9,0.0,0,0,0,0.0,9,,-1,-1,5,2
Unvalidated,2024552400285,2024.0,552400285,1.0,1.0,1,1.0,16,4,0.0,0,0,0,0.0,2,1.0,7,E01015352,-1,3
Unvalidated,2024332400180,2024.0,332400180,2.0166359200557444,1.0,1,2.0,61,9,0.0,0,-1,0,,9,1.0,4,E01029838,3,3
,2024552400309,2024.0,,2.0,1.0,1,2.0,38,7,0.0,0,0,0,0.0,9,1.0,6,E01015438,-1,3
Unvalidated,2024440113794,2024.0,440113794,2.0,3.0,1,1.0,55,8,0.0,0,0,0,0.0,9,3.0,8,E01023280,-1,3
Unvalidated,2024531430681,2024.0,531430681,1.0,1.0,1,2.0,18,4,0.0,0,0,0,0.0,9,,1,E01032932,3,3
Unvalidated,2024302400241,2024.0,302400241,2.0,2.0,2,,46,8,0.0,0,1,0,0.0,9,1.0,10,E01019653,-1,3
Unvalidated,2024010511583,2024.0,010511583,1.0,1.0,3,2.0,77,11,6.0,9,0,0,0.0,0,1.0,6,E01002266,-1,3
Unvalidated,2024552400320,2024.0,552400320,2.0,1.0,1,1.0,30,6,0.0,0,0,0,0.0,3,1.0,8,E01020475,-1,3
Unvalidated,2024010511488,2024.0,010511488,1.0,1.0,1,1.0,28,6,0.0,0,0,0,0.0,3,1.0,4,E01004525,-1,3
Unvalidated,2024520001489,2024.0,520001489,1.0,1.0,2,2.0,57,9,0.0,0,1,0,0.0,9,1.0,2,E01014458,-1,3
Unvalidated,2024311416049,2024.0,311416049,1.0,1.0,1,1.0,38,7,0.0,0,0,0,0.0,3,1.0,2,E01013945,3,3
Unvalidated,2024052400628,,052400628,1.0,1.0,3,2.0,64,9,5.0,9,0,0,0.0,0,1.0,9,E01007070,-1,3
Unvalidated,2024010503457,2024.0,010503457,1.0,1.0,1,2.0,78,11,0.0,0,0,0,0.0,9,1.0,8,E01002008,-1,3
Unvalidated,2024471427107,2024.0,471427107,2.0,1.0,1,2.0,29,6,0.0,0,0,0,0.0,5,3.0,5,E01021100,1,1
Unvalidated,2024622400128,2024.0,622400128,1.0,3.0,2,1.0,15,3,0.21124518512345292,0,2,0,0.0,9,-1.0,-1,-1,-1,3
Unvalidated,2024201453734,2024.0,201453734,1.0,1.0,3,2.0,-1,-1,5.0,3,0,0,2.0,0,-1.0,-1,-1,3,3
Unvalidated,2024440120799,,440120799,2.0,1.0,1,2.0,71,10,0.0,0,0,0,0.0,9,1.0,5,E01017055,-1,3
Unvalidated,2024010497084,2024.0,,1.0,1.0,1,2.0,49,8,0.0,0,0,0,0.0,9,1.0,8,E01000371,-1,3
Unvalidated,2024052400816,2024.0,052400816,2.0,1.0,1,1.0,44,7,0.0,0,0,0,0.0,9,1.0,8,E01006827,-1,3
Unvalidated,2024010507314,2024.0,010507314,1.0,1.0,1,2.0,23,5,0.0,0,0,0,,9,1.0,10,E01001533,-1,3
Unvalidated,2024340WN0242,2024.0,340WN0242,1.0,1.0,1,1.0,24,5,0.0,0,-1,0,0.0,9,1.0,3,E01013510,3,3
Unvalidated,2024340WN2582,2024.0,340WN2582,1.0,1.0,2,2.0,18,4,0.0,0,-1,0,0.0,9,-1.0,-1,-1,3,3
Unvalidated,2024122400526,2024.0,122400526,1.0,1.0,1,1.0,22,5,0.0,0,0,0,0.0,9,1.0,10,E01013374,-1,3
Unvalidated,2024461396228,2024.0,461396228,2.0,1.0,1,2.0,32,6,0.0,0,0,0,0.0,9,1.0,4,E01024582,3,3
Unvalidated,2024010494962,2024.0,010494962,1.0,1.0,3,1.0,36,7,9.0,7,0,0,0.0,0,1.0,7,E01033093,-1,3
Unvalidated,2024501451415,2024.0,501451415,1.0,1.0,1,1.0,60,9,0.0,0,0,0,0.0,9,2.0,5,E01018780,3,3
Unvalidated,2024520001148,2024.0,520001148,1.0,1.0,1,1.0,57,9,0.0,0,0,0,0.0,9,1.0,7,E01014945,-1,2
Unvalidated,2024340NN1072,2024.0,340NN1072,2.0,1.0,2,2.0,36,7,0.0,0,-1,0,0.0,9,-1.0,-1,-1,3,3
Unvalidated,2024471400089,2024.0,471400089,2.0,1.0,1,2.0,53,8,0.0,0,0,0,0.0,9,3.0,9,E01021203,7,2
Unvalidated,2024010498158,2024.0,010498158,1.0,1.0,1,1.0,59,9,0.0,0,0,0,,19,3.0,8,E01024803,-1,3
Unvalidated,2024461451148,2024.0,461451148,1.0,1.0,1,1.0,23,5,0.0,0,0,0,0.0,19,3.0,4,E01024566,3,3
Unvalidated,2024522402384,2024.0,522402384,1.0,3.0,2,2.0,20,4,0.0,0,2,0,0.0,9,1.0,3,E01014646,-1,3
Unvalidated,2024471456281,2024.0,471456281,1.0,2.0,1,1.0,18,4,0.0,0,0,0,0.0,9,,7,E01031633,3,3
,2024201437150,2024.0,201437150,2.0,1.0,1,1.0,10,2,0.0,0,0,0,0.0,1,1.0,2,E01010041,3,3
Unvalidated,2024401448910,2024.0,401448910,2.0,2.0,1,1.0,66,10,0.0,0,0,0,0.0,9,1.0,6,E01018190,3,3
Unvalidated,2024991424714,2024.0,991424714,1.0,1.0,3,1.0,39,7,5.0,1,0,0,0.0,0,-1.0,-1,-1,3,3
Unvalidated,2024010489125,2024.0,010489125,1.0330435284243558,2.0,2,-1.0,-1,-1,0.0,0,2,0,0.0,9,1.0,5,E01002330,-1,3
Unvalidated,2024010509362,2024.0,010509362,1.0,1.0,1,1.0,24,5,0.0,0,0,0,0.0,5,,2,E01001625,-1,2
Unvalidated,2024501454977,2024.0,501454977,2.0,1.0,1,1.0,22,5,0.0,0,0,0,,9,1.0,-1,-1,3,3
Unvalidated,2024631414840,2024.0,631414840,2.0,3.0,2,1.0,59,9,0.0,0,1,0,0.0,9,3.0,6,W01001039,3,3
Unvalidated,2024471430532,2024.0,471430532,1.0,1.0,1,1.0,65,9,0.0,0,0,0,0.0,1,1.0,10,E01011702,5,2
Unvalidated,2024141403559,2024.0,141403559,1.0,4.0,2,2.0,10,2,0.0,0,2,0,0.0,9,1.0,3,E01027954,3,3
Unvalidated,2024201435931,2024.0,201435931,2.0,3.0,2,2.0,21,5,0.0,0,2,0,0.0,9,1.0,2,E01010564,3,3
Unvalidated,202460Q012989,2024.0,60Q012989,2.0,1.0,1,,33,6,0.0,0,0,0,0.0,9,-1.0,-1,-1,-1,3
